Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
HRA,4a, FALSE,New applicants for HIV/AIDS Services Administration (HASA) services,"5,491","5,385","5,033","5,045","6,862",*,*,Up,*
311,2a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,96%,*,*,Neutral,*
NYCHA,1b, TRUE,Elevator related fatalities,0,0,1,2,0,↓,↓,Up,Down
ACS,2a, TRUE,Average mandated children voucher enrollment,"56,649","54,852","55,000","54,761","53,723",*,*,Neutral,*
DYCD,1a, FALSE,Calls to Youth Connect,"36,867","34,191","47,281","55,538","55,306","48,000","60,000",Up,Up
NYCHA,1b, FALSE,Management cost per dwelling unit ($),"$1,012",$913,$893,$875,$950,$875,$875,Neutral,*
DCAS,7a, FALSE,Collisions involving City vehicles citywide,NA,"5,886","5,726","6,344","6,363",*,*,NA,Down
DCLA,1a, TRUE,Average days to issue initial Cultural Development Fund (CDF) payments after complying with all City requirements,6,8,11,4,6,7,7,Down,Down
HRA,6a, FALSE,Completed requests for interpretation,"1,016,101","1,116,886","909,712","989,229","1,271,049",*,*,Up,*
OCME,5a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
HRA,2b, TRUE,Number of WeCARE federal disability awards,"3,739","2,950","3,141","3,227","3,613",*,*,Neutral,*
BPL,NA, TRUE,Total library attendance (000),"10,067","8,432","8,699","8,686","8,382","9,120","8,466",Down,Up
HRA,5a, FALSE,"Supplemental Nutritional Assistance Program (SNAP) cost avoidance for fraud and abuse ($000,000)",$29.60,$29.60,$30.00,$28.50,$29.30,*,*,Neutral,Up
DOE,5a, FALSE,Teachers hired to fill projected vacancies (%),100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Neutral,*
NYCHA,3a, FALSE,Residents approved for the Emergency Transfer Program,937,808,815,931,"1,070",*,*,Up,*
DOHMH,4b, FALSE,Individuals in the assisted outpatient mental health treatment program,"1,289","1,388","2,176","2,236","2,368",*,*,Up,*
DEP,1a, FALSE,Samples testing positive for coliform bacteria (%),0.30%,0.30%,0.30%,0.50%,0.30%,*,*,Up,Down
DEP,7b, FALSE,Percent meeting time to first action - Sewer Maintenance - Sewer Backup (0.25 days),84%,86%,89%,90%,88%,85%,85%,Neutral,*
DEP,2a, FALSE,Sewer backup complaints received,"14,911","11,637","11,435","10,469","12,134",*,*,Down,*
DOE,1a, TRUE,Average class size - Kindergarten,23.1,22.8,22.9,22.6,22,22.1,21,Neutral,Down
DCA,3a, FALSE,Total savings accumulated ($) (cumulative),"$1,995,846","$2,987,936","$3,596,836","$4,094,324","$4,326,485",*,*,Up,Up
DPR,2a, FALSE,Trees removed,"22,920","16,586","15,964","16,505","15,749",*,*,Down,*
EDC,3b, TRUE,"– Projected net City tax revenues generated in connection with closed contracts ($000,000)",$576.40,"$1,370.40","$1,435.60",$312.60,$58.30,↑,↑,Down,Up
OCME,1a, FALSE,Deaths reported,"27,265","27,505","27,984","27,674","28,940",*,*,Neutral,*
DCAS,1b, TRUE,New hires - Native American (%),0.40%,0.40%,0.40%,0.40%,0.50%,*,*,Up,*
BPL,NA, TRUE,Circulation (000),"17,461","15,731","15,205","14,933","14,447","14,993","14,400",Down,Up
DOT,7b, FALSE,Percent meeting time to first action - Traffic Signal Condition - Controller (0.1 days),71%,72%,73%,74%,75%,80%,80%,Neutral,*
DDC,1a, FALSE,– Construction completed on schedule (%),80%,88%,92%,91%,85%,82%,82%,Neutral,Up
NYPD,1a, FALSE,Gang motivated incidents,264,225,328,349,350,*,*,Up,*
HRA,2c, FALSE,Total new child support orders obtained,"17,981","20,286","20,351","19,579","18,645",*,*,Neutral,Up
DHS,2a, FALSE,Families with children receiving public assistance (average) (%),87.70%,81.80%,85.40%,81.60%,81.50%,80.00%,85.00%,Neutral,*
BPL,NA, FALSE,Program sessions,"38,247","41,094","47,100","62,162","69,912","66,475","73,408",Up,Up
DSNY,1b, TRUE,Lots cleaned citywide,"3,607","2,997","3,206","3,638","3,399","3,200","3,200",Neutral,*
DOT,2a, FALSE,Intersections with accessible pedestrian signals installed,19,30,18,52,116,75,75,Up,Up
DCAS,1a, FALSE,Employment applications received via NYC Jobs,"299,351","679,785","925,054","952,641","1,142,330",*,*,Up,Up
DOC,1a, TRUE,"Violent inmate-on-inmate incidents (monthly rate per 1,000 ADP)",27.2,32.9,37.8,47.8,55.2,↓,↓,Up,Down
NYCEM,2c, FALSE,"Subscribers to Notify NYC, CorpNet, Advance Warning System, and Citizen Corps Newsletter","182,895","237,740","310,072","415,203","559,928",*,*,Up,*
DOE,1a, FALSE,Student Enrollment as of October 31 in full day pre-kindergarten,"15,917","19,287","53,120","68,547","69,510",*,*,Up,*
DOHMH,1b, TRUE,Children in the public schools who are in compliance with required immunizations (%),99.10%,99.20%,99.00%,98.80%,98.80%,99.00%,99.00%,Neutral,Up
DPR,6b, FALSE,Percent meeting time to first action - Overgrown Tree/Branches - Hitting Building (30 days),92%,88%,57%,48%,35%,95%,95%,Down,*
EDC,3b, TRUE,"– Projected net City tax revenues generated in connection with closed contracts ($000,000)",$173.60,$250.90,$515.60,$411.20,$168.80,↑,↑,Up,Up
NYCHH,1a, FALSE,Calendar days to third next available new appointment - adult medicine,NA,NA,26,23,18.6,14,14,NA,Down
TLC,1c, TRUE,Patrol summonses issued for illegal street hails (drivers and vehicle owners),NA,"10,522","10,803","8,549","12,813",*,*,NA,*
DFTA,3b, FALSE,Percent meeting time to first action - Elder Abuse (5 days),75%,72%,76%,67%,92%,*,*,Up,*
DOHMH,3c, FALSE,Dogs licensed (000),79,85,83,85,84.6,105,105,Neutral,*
DHS,1a, TRUE,Families with children receiving preventive services who did not enter the shelter system (%),93.00%,94.00%,94.50%,94.10%,94.20%,85.00%,85.00%,Neutral,Up
CCHR,1a, FALSE,Caseload,583,567,667,"1,318","1,643",474,474,Up,*
DOB,1c, TRUE,Average wait time for a plumbing inspection (days),5.1,4.5,4.5,3.8,3.4,5,5,Down,Down
DCA,1a, FALSE,Resolved consumer complaints,"3,800","3,873","3,495","3,691","2,860",*,*,Down,*
NYCHH,1a, FALSE,Patient Cycle Time - Women's Health (minutes),NA,NA,NA,76,88,60,60,NA,Down
DOE,4a, FALSE,– High schools (%),48.00%,44.00%,48.70%,47.00%,NA,*,*,NA,Down
TLC,3a, FALSE,CORE customer experience rating (1-100),84,87,88,98,97,80,85,Up,Up
SBS,4a, TRUE,Annual M/WBE recertification rate,59.20%,60.40%,60.40%,53.40%,61.80%,60.00%,60.00%,Neutral,Up
HPD,4a, FALSE,Section 8 subsidized units in abatement (%),NA,3%,2%,2%,3%,*,*,NA,Down
SCA,1a, FALSE,Total new seats created,"10,061","5,380","15,210","6,241","8,676","8,084","4,005",Neutral,*
DOHMH,3c, TRUE,Compliance inspections found to be rat free (%),52.60%,50.90%,46.80%,47.80%,49.10%,↑,↑,Neutral,Up
DYCD,4a, FALSE,Agency assessments completed,"1,663","1,579",732,"1,356",244,*,*,Down,*
NYPD,1c, FALSE,Average response time to non-critical crimes in progress (dispatch and travel time only) (minutes),13.2,12,13.9,14.5,15.2,*,*,Up,Down
DOF,4a, TRUE,Average time to address inquiries (days),NA,NA,NA,9,7.8,↓,↓,NA,Down
DFTA,1b, FALSE,Average daily attendance at senior centers,"24,257","23,983","27,812","29,118","29,492","26,342","26,342",Up,Up
DOE,1a, TRUE,Students in cohort graduating from high school in 4 years (%) (NYSED),66.00%,68.40%,70.50%,72.60%,NA,71.50%,74.10%,NA,Up
ACS,1d, FALSE,Siblings placed simultaneously in the same foster home (%)(preliminary),87.90%,88.20%,88.90%,91.40%,93.20%,*,*,Neutral,Up
DCA,5b, FALSE,Percent meeting time to first action - Consumer Complaint - Non-Delivery Goods/Services (4 days),96%,71%,82%,92%,98%,85%,85%,Up,*
DEP,2a, FALSE,– Unconfirmed (not on City infrastructure or unfounded),"10,685","8,417","8,589","7,960","9,490",*,*,Down,*
DCLA,1c, FALSE,"Schools, non-profits and City/State agencies served by Materials for the Arts (MFTA)","1,884","2,025","2,105","2,117","2,165",*,*,Up,Up
DYCD,1a, TRUE,COMPASS NYC programs meeting target enrollment - SONYC/middle school (school year) (%),93%,92%,95%,91%,95%,85%,85%,Neutral,Up
DOB,4b, FALSE,Percent meeting time to first action - General Construction/Plumbing - Contrary/Beyond Approved Plans/Permits (60 days),70%,80%,81%,78%,62%,72%,72%,Neutral,*
DCA,5a, FALSE,Average customer in-person wait time (minutes),12,16,13,9,9,17,17,Down,Down
CCRB,3a, FALSE,Completed requests for interpretation,525,613,591,695,744,*,*,Up,*
TLC,1c, TRUE,Patrol summonses issued for unlicensed activity (drivers and vehicle owners),NA,"14,822","12,497","10,380","7,955",*,*,NA,*
NYCEM,2b, FALSE,CERT members trained,347,297,264,168,172,*,*,Down,*
NYCHA,1a, FALSE,Rent delinquency Rate (%),NA,NA,NA,27.70%,30.00%,*,*,NA,Down
ACS,3a, FALSE,"Youth on youth assault with injury rate, Close to home placement",NA,0.14,0.12,0.1,0.13,0.09,0.09,NA,Down
ACS,1a, TRUE,Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Register (%),95.00%,98.80%,98.80%,98.60%,98.20%,100.00%,100.00%,Neutral,Up
NYCHA,1b, TRUE,Average time to resolve elevator outages (hours),5.8,5.7,6.5,8.7,9.6,10,10,Up,Down
DOE,3a, FALSE,Percent of high school cohort who graduated from high school and enrolled in a college or other post-secondary program within 6 months,51.00%,53.00%,54.60%,NA,NA,55.60%,57.60%,NA,Up
NYPL,NA, TRUE,Total library attendance (000),"14,185","13,971","14,014","13,867","13,666","13,800","12,260",Neutral,Up
CCRB,1a, TRUE,Closed allegations with findings on the merits (%),42%,39%,41%,46%,43%,55%,55%,Neutral,Up
HRA,3b, FALSE,Average number of families served per day in the domestic violence shelter program,755,769,786,803,841,*,*,Up,*
NYCHA,1b, TRUE,Average time to resolve emergency service requests (hours),13.6,11,14.7,13.1,12.1,24,24,Neutral,Down
DOT,1b, FALSE,Construction permits issued,"348,051","418,245","471,688","549,495","597,358",*,*,Up,Up
OCME,4a, FALSE,Median time to complete toxicology DUI (driving under the influence) cases (days),14,20,30,43,17,10,10,Up,Down
SBS,4a, FALSE,Newly certified and recertified businesses in M/WBE Program,"1,061",923,"1,003","1,030","1,675",*,*,Up,Up
HRA,1c, FALSE,– Medicaid-only enrollees administered by HRA (000),"2,317.80","2,064.40","1,608.10","1,321.20","1,109.90",*,*,Down,*
DOB,1b, FALSE,Average days to complete first plan review (Hub projects) - New buildings,11.6,12.7,17.9,9.9,4.9,*,*,Down,Down
DEP,5a, TRUE,Average days to close noise complaints,7.1,5.2,5.9,5.6,4.3,9,9,Down,Down
DEP,7b, FALSE,Percent meeting time to first action - Water Maintenance - Leak (0.7 days),82%,80%,80%,79%,81%,85%,85%,Neutral,*
DHS,5a, FALSE,Collisions involving City vehicles,48,27,58,60,46,*,*,Up,Down
TLC,1a, FALSE,Active Boro Taxis that are accessible,NA,492,"1,240","1,393","1,485",*,*,NA,Up
DOHMH,2b, FALSE,"Adults, aged 50+, who received a colonoscopy in the past ten years (%) (CY)",68.50%,69.00%,69.90%,69.90%,68.50%,71.40%,71.40%,Neutral,Up
ACS,1c, TRUE,"Children maltreated during family foster care placement per 100,000 care days",3.9,3.1,4,5.2,7.6,4.2,5,Up,Down
DOB,4b, FALSE,"Percent meeting time to first action - No Permit - Construction, Plumbing, Cranes & Derricks, Building/Use, Elevator (60 days)",72%,72%,63%,85%,93%,77%,77%,Up,*
QPL,NA, FALSE,Program sessions,"38,040","46,636","52,396","68,364","80,881","68,000","84,000",Up,Up
HPD,4b, FALSE,Housing New York units started – Extremely low income (0-30% AMI),NA,896,"2,869","3,740","4,014",*,*,NA,*
NYCHH,1a, TRUE,HIV patients retained in care (%) (annual),84.30%,86.60%,86.10%,85.70%,83.50%,85.00%,85.00%,Neutral,Up
DPR,6a, FALSE,E-mails routed and responded to in 14 days (%),45%,38%,52%,60%,77%,60%,60%,Up,Up
HRA,1a, FALSE,Cash assistance cases in sanction process (%),NA,6.30%,4.80%,4.00%,4.70%,*,*,NA,*
NYCHA,4a, FALSE,Average wait time to speak with a customer service agent (minutes),16,19,15,13,18,*,*,Neutral,Down
FDNY,1c, TRUE,"Serious fires per 1,000 structural fires",103,97,93,88,86,↓,↓,Down,Down
HPD,1a, FALSE,– Other emergency,"221,285","210,289","191,322","197,347","190,525",*,*,Down,*
OCME,4a, TRUE,"Median time to complete DNA property crime cases, from evidence submission to report (days)",139,119,188,57,63,30,30,Down,Down
ACS,2a, FALSE,EarlyLearn - Budget per slot in contract family child care,"$9,329","$9,340","$9,347","$9,522","$9,537",*,*,Neutral,*
BIC,1b, FALSE,Waste hauling applications approved - Renewal,897,642,571,807,660,*,*,Down,Up
DHS,5a, FALSE,Workplace injuries reported,82,90,122,147,189,*,*,Up,Down
ACS,1c, FALSE,School Attendance Rate - Children in Foster Care (%),NA,82.10%,82.50%,82.50%,82.20%,*,*,NA,Up
CCRB,1a, TRUE,Average time to complete a full investigation (days),386,324,283,162,153,120,120,Down,Down
DOI,2a, FALSE,"Time to notify agencies of arrest notifications for current childcare, home care and family care workers after receipt from State Division of Criminal Justice Services (days)",2,1,1,1,1,*,*,Down,Down
FDNY,3a, FALSE,"Ambulance collision rate (per 10,000 runs)",8.3,7.6,7.7,9.3,8.8,*,*,Up,Down
DFTA,3b, FALSE,Percent meeting time to first action - Senior Center Complaint (14 days),40%,96%,97%,99%,99%,*,*,Up,*
NYPL-Research,NA, TRUE,Average weekly scheduled hours,46.8,46.8,46.8,51.3,51.3,51.3,53.3,Up,Up
DOB,2b, FALSE,Environmental Control Board violations issued,"43,320","47,768","52,315","55,121","66,399",*,*,Up,*
HPD,1b, FALSE,– Heat and hot water,"12,216","12,352","10,478","8,858","10,340",*,*,Down,*
DOF,4a, FALSE,Inquiries received,NA,NA,NA,381,770,*,*,NA,*
HRA,4a, FALSE,Total referrals received for APS,"22,055","23,657","24,203","25,614","27,233",*,*,Up,*
FDNY,2b, FALSE,Peak number of ambulances in service per day,381,392,405,426,457,*,*,Up,*
DOE,1a, TRUE,– Grade 7,27.6,27.1,27.3,27.1,27,26.6,26,Neutral,Down
DOT,1b, FALSE,Potholes repaired - Arterial highway system,"45,070","126,144","90,289","33,889","30,922",*,*,Down,*
NYPD,2a, FALSE,Total moving violation summonses (000),999,"1,052","1,005","1,032","1,062",*,*,Neutral,*
DOT,3a, TRUE,NYC adults who bike regularly (annual) (calendar year),"632,000","759,000","778,000",NA,"828,000",↑,↑,NA,Up
DDC,1a, TRUE,Active construction projects: Difference between projected and scheduled duration (%),1.90%,2.40%,1.90%,-2.70%,2.80%,2.50%,2.50%,Down,Down
DOB,1a, FALSE,Average customer in-person wait time (minutes),NA,NA,NA,NA,27,*,*,NA,Down
LAW,3a, TRUE,Families entitled to a support order that get a support order (%),65%,65%,68%,71%,70%,65%,65%,Up,Up
TLC,3b, FALSE,Percent meeting time to first action - Request for Information (14 days),72%,90%,98%,83%,94%,60%,60%,Up,*
FDNY,4a, FALSE,CORE facility rating,96,99,91,98,100,*,*,Neutral,Up
CCHR,1a, TRUE,– Cases closed (%) - probable cause determination,12%,8%,15%,6%,4%,*,*,Down,*
DOF,2a, FALSE,Tickets paid before penalty assessed (%),51.50%,53.10%,55.30%,55.20%,53.60%,*,*,Neutral,Up
CUNY,NA, FALSE,Student/faculty ratio - Overall,17:01,17:01,17:01,17:01,16:01,*,*,Neutral,Down
BOE,NA, FALSE,Poll worker attendance on Election Day (%),95.60%,87.50%,84.80%,89.10%,94.10%,*,*,Neutral,Up
NYCHA,2b, TRUE,Occupancy rate (%),98.80%,99.40%,99.50%,99.50%,99.40%,99.20%,99.20%,Neutral,Up
DPR,3a, TRUE,Capital projects completed on time or early (%),76%,72%,90%,86%,85%,80%,80%,Up,Up
DOF,7a, FALSE,Letters responded to in 14 days (%),91%,79%,90%,87%,91%,85%,85%,Neutral,Up
NYCEM,1a, TRUE,Emergency Operations Center activations,6,8,7,6,15,*,*,Up,*
ACS,1c, FALSE,– Children in residential care,"1,099",923,929,859,847,*,*,Down,Down
DOB,4a, FALSE,Letters responded to in 14 days (%),54%,49%,69%,30%,60%,57%,57%,Neutral,Up
DHS,2a, TRUE,Families with children entering the DHS shelter services system,"12,306","11,848","12,671","13,311","12,595",↓,↓,Neutral,Down
DOE,6a, FALSE,Customers rating service good or better (%) (as applicable),96%,95%,95%,95%,95%,90%,90%,Neutral,Up
DEP,7b, FALSE,Percent meeting time to first action - Sewer Maintenance - Catch Basin Clogged/Flooding (6 days),91%,90%,93%,91%,89%,85%,85%,Neutral,*
DOB,1b, FALSE,Jobs professionally certified that were audited (%),NA,NA,20.60%,20.30%,23.00%,*,*,NA,Up
DOP,2a, FALSE,Revocation of juveniles not resulting in placement (%),NA,NA,NA,36.00%,29.00%,*,*,NA,*
FDNY,1a, TRUE,Non-structural fires,"14,145","16,867","17,022","15,044","15,696",↓,↓,Neutral,Down
HPD,2a, FALSE,– New construction completions,NA,"2,307","3,507","4,621","5,224","6,910","6,911",NA,*
ACS,1c, FALSE,– Children in foster kinship homes,"4,461","3,929","3,636","3,223","2,762",*,*,Down,*
DSNY,5a, FALSE,Removal cost per inch of snow ($000),"$1,602","$2,330","$2,444","$3,283","$3,157",*,*,Up,*
HRA,3a, FALSE,Rent Assistance Unit Emergency Assistance Requests Approved (%),NA,66.50%,74.20%,67.60%,66.70%,*,*,NA,*
DCAS,6b, FALSE,– Fleet in-service rate for DCAS-managed fleet (%),98%,98%,98%,98%,99%,97%,98%,Neutral,Up
CUNY,NA, FALSE,CUNY associate degree recipients who continue their education or are working (%),92.40%,92.50%,95.30%,92.30%,94.20%,*,*,Neutral,Up
CCRB,1b, FALSE,Cases with mutual agreement to mediate,244,446,394,444,373,*,*,Up,Up
DOP,1b, FALSE,Juvenile supervision - Intake cases received,"7,516","6,064","5,366","4,640","3,856",*,*,Down,*
DOE,2a, TRUE,English Language Learners testing out of ELL programs within 3 years (%),54.00%,53.00%,61.30%,57.70%,55.50%,58.70%,58.70%,Neutral,Up
DEP,5a, FALSE,Air complaints received,"7,628","7,896","8,776","9,858","8,807",*,*,Up,*
NYCHA,2c, TRUE,Section 8 occupied units (vouchers),"91,892","88,529","86,167","85,224","85,175","87,000","87,000",Neutral,Up
HPD,5b, FALSE,Percent meeting time to close - Paint/Plaster - Walls (17 days),74%,70%,61%,66%,64%,69%,69%,Down,*
EDC,1a, FALSE,Graffiti sites cleaned,"10,727","7,909","10,295","9,189","9,861",*,*,Neutral,*
DSNY,3a, FALSE,Recycling summonses issued,"65,017","107,049","107,428","118,407","100,629",*,*,Up,*
DDC,1c, FALSE,Post-construction satisfaction - Surveys returned,47,46,27,54,41,*,*,Neutral,Up
NYCHA,3a, FALSE,Utilization of senior centers (%) ages 60+,133.50%,143.00%,145.00%,116.00%,160.00%,85.00%,85.00%,Neutral,Up
DCAS,1d, FALSE,"City employees participating in diversity, inclusion and equal employment opportunity training","5,809","1,961","10,226","33,322","24,363","20,000","20,000",Up,*
TLC,3a, FALSE,Letters responded to in 14 days (%),94%,92%,99%,NA,88%,90%,90%,NA,Up
DOC,2a, TRUE,I-CAN Enrollments,634,"2,408","2,321","4,278","7,569",*,*,Up,*
SBS,1a, FALSE,Projected number of hires by businesses opened by NYC Business Acceleration,"9,280","13,090","12,037","12,759","10,096",*,*,Neutral,Up
DOE,5a, FALSE,Principals with 4 or more years experience as principal (%),61.00%,59.50%,60.00%,59.90%,63.20%,*,*,Neutral,Up
TLC,1b, FALSE,Medallion safety and emissions inspections completed on schedule (%),94.90%,96.00%,95.50%,95.60%,94.00%,*,*,Neutral,Up
DCAS,3a, TRUE,Revenue generated from the sale of surplus goods ($000),"$9,610","$9,892","$10,406","$11,026","$9,216","$8,693","$8,893",Neutral,*
ACS,1b, FALSE,Children receiving child welfare preventive services (daily average),"24,127","23,725","24,889","23,545","23,383",*,*,Neutral,Up
DOT,4a, TRUE,Pedestrian volume index,112.9,111.1,112.7,118.3,113.7,*,*,Neutral,*
HPD,5a, FALSE,CORE customer experience rating (0-100),87,89,90,97,98,85,85,Up,Up
QPL,NA, TRUE,Library card holders (000),"1,275",929,972,841,"1,400","1,400","1,400",Neutral,Up
DOT,3a, FALSE,– Route miles (cumulative),38,61,65,73,89,*,*,Up,Up
CCRB,1a, TRUE,Substantiated cases in which the statute of limitations expired (%),10%,3%,1%,0%,0%,0%,0%,Down,Down
DCP,2a, FALSE,Planning information and policy analysis initiatives presented to the public,NA,NA,212,222,262,*,*,NA,Up
OCME,4a, FALSE,DNA matches with profiles in database,"1,618","2,621","6,008","7,758","8,719",*,*,Up,*
FDNY,3a, FALSE,"Apparatus collision rate (per 10,000 runs)",4.5,4.3,4.2,3.9,4,*,*,Down,Down
DOB,3a, FALSE,Workplace injuries reported,17,15,12,10,21,*,*,Neutral,Down
FDNY,1a, FALSE,Completed mandatory inspections performed by uniformed personnel,NA,"50,224","47,282","55,856","60,795",*,*,NA,*
CCHR,1a, TRUE,Average value of cash settlement for complainant ($),"$14,273","$15,250","$10,755","$34,775","$20,680",*,*,Up,*
DDC,1a, FALSE,Average cost change for all completed consultant design and construction supervision projects (excluding programmatic scope changes) (%),2.00%,2.70%,2.60%,8.40%,3.00%,3.00%,3.00%,Up,Down
BPL,NA, FALSE,New library card registrations,"167,467","205,089","192,156","126,082","122,670",*,*,Down,*
DHS,3b, TRUE,– unsubsidized exits (%),15.60%,13.00%,18.30%,11.90%,21.60%,↓,↓,Up,Down
CCRB,3a, FALSE,E-mails responded to in 14 days (%),79%,94%,98%,100%,100%,*,*,Up,Up
ACS,2a, TRUE,Average EarlyLearn Utilization - Family child care (%),52.90%,73.90%,81.40%,84.60%,86.70%,85.00%,85.00%,Up,Up
DoITT,4a, TRUE,Inspected phones deemed operable (%),61%,65%,63%,65%,80%,75%,75%,Up,Up
DOT,1b, FALSE,Adopt-A-Highway adoption rate (%),67.40%,76.80%,81.50%,80.70%,83.90%,75.00%,75.00%,Up,Up
NYCHA,1c, TRUE,Average turnaround days for vacant apartments,60.3,77.9,58.1,50,55.1,30,30,Down,Down
311,1a, TRUE,311 calls (000),"19,917","21,346","21,079","18,799","20,540",*,*,Neutral,*
BIC,2a, TRUE,Public wholesale market applications pending - New and Renewal,NA,NA,65,107,16,40,40,NA,Down
DOT,7a, FALSE,Completed customer requests for interpretation,655,798,"1,261","1,415","2,209",*,*,Up,*
DHS,6a, FALSE,Average wait time to speak with a customer service agent (minutes),NA,24,15,10,6,*,*,NA,Down
HRA,1a, FALSE,Cash Assistance unduplicated number of persons receiving recurring assistance (12-month) (000),510.1,489.9,484.6,492.9,491.9,*,*,Neutral,*
DDC,1a, FALSE,– Construction completed on schedule (%),83%,85%,93%,89%,88%,82%,82%,Neutral,Up
NYCEM,1a, FALSE,– Field responses,674,810,938,"1,019",825,*,*,Up,*
NYCHA,2d, FALSE,Number of developments,334,334,328,328,326,*,*,Neutral,*
HRA,1a, FALSE,Cash Assistance unduplicated number of persons receiving emergency assistance (12-month) (000),96.9,99.2,106.4,108.9,106.7,*,*,Up,*
CCHR,1a, FALSE,– Cases closed (%) - no probable cause determination,43%,45%,43%,5%,7%,*,*,Down,*
DOF,3a, TRUE,Average time to process renewal SCRIE applications (days),13.4,9.6,8.9,6.9,5.2,10,10,Down,Down
DOP,2b, FALSE,Adult probationer early completion rate (%),12%,11%,12%,10%,12%,*,*,Neutral,*
DHS,4a, TRUE,"HOME-STAT clients placed into permanent housing, transitional housing and other settings",NA,NA,NA,NA,"2,146",↑,↑,NA,Up
ACS,1c, TRUE,"Number of moves in foster care per 1,000 care days",1.3,1.4,1.5,1.4,1.5,1.4,1.4,Up,Down
NYPD,6b, FALSE,Percent meeting time to close – Residential Noise - Banging/Pounding (0.3 days),91,94,91,86,84,*,*,Neutral,*
DCAS,7a, FALSE,Injuries resulting from collisions involving City vehicles citywide,NA,831,669,510,727,*,*,NA,Down
DOT,1b, FALSE,– Poor (%),0.60%,0.70%,0.70%,0.80%,0.60%,*,*,Neutral,Down
DoITT,6b, FALSE,Percent meeting time to close – cable complaint - billing (30 days),99,100,100,100,98,*,*,Neutral,*
DSNY,1a, FALSE,Violations issued for illegal posting,"16,182","18,217","11,601","8,209","10,892",*,*,Down,*
DHS,3a, FALSE,Adult families exiting to permanent housing,NA,NA,908,628,570,*,*,NA,Up
DOHMH,7a, FALSE,Average wait time to speak with a customer service agent (minutes),11,9,8,1,1,10,10,Down,Down
DCP,3a, TRUE,– Certified/referred within 12 months,NA,84%,66%,71%,65%,70%,70%,NA,Up
NYPL,NA, FALSE,Libraries open seven days per week (%),4%,4%,4%,8%,8%,8%,8%,Up,Up
DHS,2b, FALSE,"Violent critical incidents in the adult family shelter system, per 1,000 residents",NA,NA,NA,NA,1.6,*,*,NA,Down
HRA,4a, FALSE,Adult Protective Services (APS) assessment cases,"3,419","3,723","3,905","4,041","4,193",*,*,Up,*
DOC,1b, TRUE,"Department use of force incidents with serious injury (rate per 1,000 ADP)",0.92,1.18,1.14,0.68,0.66,↓,↓,Down,Down
DOHMH,7a, FALSE,Letters responded to in 14 days (%),21%,30%,36%,60%,44%,40%,50%,Up,Up
DOE,2b, FALSE,– Public school,"176,360","192,110","200,259","206,839","212,121",*,*,Up,*
DYCD,1b, TRUE,Youth reunited with family or placed in a suitable environment from crisis shelters (%),86%,83%,89%,77%,77%,75%,75%,Down,Up
OCME,4a, FALSE,Median days to complete analysis of a DNA case,138,92,92,45,53,30,30,Down,Down
LPC,1a, TRUE,Individual landmarks and historic districts designated,20,11,15,20,30,20,20,Up,*
OCME,4a, TRUE,"Median time to complete DNA homicide cases, from evidence submission to report (days)",161,100,62,39,44,30,30,Down,Down
HRA,6a, FALSE,Calls answered in 30 seconds (%),63.60%,69.70%,65.80%,79.70%,84.10%,80%,80%,Up,Up
DOB,4b, FALSE,Percent meeting time to first action - Elevator - Defective/Not Working (60 days),49%,51%,48%,57%,92%,50%,50%,Up,*
ACS,3a, FALSE,"Child abuse/neglect allegations cases (internal) reported as substantiated, detention",17,22,27,17,18,*,*,Neutral,Down
DPR,4a, TRUE,Total recreation center attendance,"3,016,412","3,398,432","3,422,683","3,575,088","3,402,621",↑,↑,Up,Up
DCP,3a, FALSE,Zoning actions with CEQR certified/referred,NA,45,45,57,79,*,*,NA,*
DCAS,5b, FALSE,Annual Energy Efficiency Reports (EER) completed,87,70,145,141,64,*,*,Up,*
DOE,6a, FALSE,Letters responded to in 14 days (%),NA,79%,75.10%,72.50%,71.30%,73.50%,72.30%,NA,Up
NYCEM,3a, FALSE,E-mails responded to in 14 days (%),95%,95%,97%,99%,100%,*,*,Neutral,Up
ACS,2a, TRUE,Average EarlyLearn Utilization - Center-based (%),76.20%,84.60%,82.00%,83.10%,80.50%,85.00%,85.00%,Neutral,Up
DCLA,1b, FALSE,Capital projects authorized to proceed,69,45,41,48,67,*,*,Neutral,*
CCHR,1a, TRUE,Average age of complaint caseload (days),314,297,250,340,468,300,300,Up,Down
DDC,1c, TRUE,Respondents rating a completed project as adequate or better (%),95%,93%,85%,91%,91%,90%,90%,Neutral,Up
DPR,4a, FALSE,Attendance at historic house museums,"725,376","833,929","825,541","746,304","831,294",*,*,Neutral,Up
DOHMH,5a, TRUE,Average response time for birth certificates by mail/online (days),4.3,1.2,1.3,1.8,1.6,3,3,Down,Down
DOHMH,2b, TRUE,"Infant mortality rate (per 1,000 live births) (CY)",4.7,4.6,4.2,4.3,4.1,4.2,4.2,Down,Down
ACS,1b, TRUE,Families entering child welfare preventive services,"9,074","10,293","11,015","10,540","9,240","11,000","11,000",Neutral,Up
